GEODOMI LABEL,GEODOMI,GEODOMI CAT,OLD LOCDOMI,OLD LOCDOMI LABEL,MSA/CMSA/NECMA
GRUNDY,29079,MO COUNTIES,040,GRUNDY,
HARRISON,29081,MO COUNTIES,041,HARRISON,
HENRY,29083,MO COUNTIES,042,HENRY,
HICKORY,29085,MO COUNTIES,043,HICKORY,
HOLT,29087,MO COUNTIES,044,HOLT,
HOWARD,29089,MO COUNTIES,045,HOWARD,
HOWELL,29091,MO COUNTIES,046,HOWELL,
IRON,29093,MO COUNTIES,047,IRON,
JACKSON,29095,MO COUNTIES,048,JACKSON,3760
JASPER,29097,MO COUNTIES,049,JASPER,3710
JEFFERSON,29099,MO COUNTIES,050,JEFFERSON,7040
JOHNSON,29101,MO COUNTIES,051,JOHNSON,
KNOX,29103,MO COUNTIES,052,KNOX,
LACLEDE,29105,MO COUNTIES,053,LACLEDE,
LAFAYETTE,29107,MO COUNTIES,054,LAFAYETTE,3760
LAWRENCE,29109,MO COUNTIES,055,LAWRENCE,
LEWIS,29111,MO COUNTIES,056,LEWIS,
LINCOLN,29113,MO COUNTIES,057,LINCOLN,7040
LINN,29115,MO COUNTIES,058,LINN,
LIVINGSTON,29117,MO COUNTIES,059,LIVINGSTON,
MACON,29121,MO COUNTIES,060,MACON,
MADISON,29123,MO COUNTIES,061,MADISON,
MARIES,29125,MO COUNTIES,062,MARIES,
MARION,29127,MO COUNTIES,063,MARION,
MCDONALD,29119,MO COUNTIES,064,MCDONALD,
MERCER,29129,MO COUNTIES,065,MERCER,
MILLER,29131,MO COUNTIES,066,MILLER,
MISSISSIPPI  (MO COUNTY),29133,MO COUNTIES,067,MISSISSIPPI  (MO COUNTY),
MONITEAU,29135,MO COUNTIES,068,MONITEAU,
MONROE,29137,MO COUNTIES,069,MONROE,
MONTGOMERY,29139,MO COUNTIES,070,MONTGOMERY,
MORGAN,29141,MO COUNTIES,071,MORGAN,
NEW MADRID,29143,MO COUNTIES,072,NEW MADRID,
NEWTON,29145,MO COUNTIES,073,NEWTON,3710
NODAWAY,29147,MO COUNTIES,074,NODAWAY,
OREGON (MO COUNTY),29149,MO COUNTIES,075,OREGON (MO COUNTY),
OSAGE,29151,MO COUNTIES,076,OSAGE,
OZARK,29153,MO COUNTIES,077,OZARK,
PEMISCOT,29155,MO COUNTIES,078,PEMISCOT,
PERRY,29157,MO COUNTIES,079,PERRY,
PETTIS,29159,MO COUNTIES,080,PETTIS,
PHELPS,29161,MO COUNTIES,081,PHELPS,
PIKE,29163,MO COUNTIES,082,PIKE,
PLATTE,29165,MO COUNTIES,083,PLATTE,3760
POLK,29167,MO COUNTIES,084,POLK,
PULASKI,29169,MO COUNTIES,085,PULASKI,
PUTNAM,29171,MO COUNTIES,086,PUTNAM,
RALLS,29173,MO COUNTIES,087,RALLS,
